1-A,Offering Statement ,Prospectus
1-A POS,Post-qualification amendment to a 1-A offering statement,Prospectus
1-A-W,Withdrawal of offering statement under Regulation A,Prospectus
1-E AD,Sales Material For Offering,Prospectus
1-K,Annual Report Pursuant to Regulation A,Financials
1-SA,Semiannual Report,Financials
1-U,Other Events,News
1-Z,Offering Exit Report,Prospectus
1-Z-W,Offering Statement Withdrawal,Prospectus
10-C,Change In Number Of Shares Or Name,Other
10-K405,Annual Report With Delinquent Filer Disclosure ,Financials
10-KSB,Annual Report Filed By Small Business,Financials
10-QSB,Quarterly Report Filed By Small Business,Financials
10KSB40,Annual report for small businesses,Financials
10KT405,Annual report for transitional period,Financials
10SB12B,Registration of securities for small business ,Prospectus
10SB12G,Registration of securities for small business,Prospectus
12G3-2B,Other,Other
12G32BR,Other,Other
13F-E,Quarterly report for institutional manager,Ownership
13FCONP,Quarterly report filed by institutional managers,Ownership
19B-4E,Information required of an SRO listing and trading in a new directive securities product,Other
2-A,Other,Other
2-AF,Other,Other
24F-1,Other,Prospectus
24F-2EL,Other,Prospectus
24F-2TM,Other,Other
25-NSE,Removal From Listing,Prospectus
253G1,Information omitted from offering circular,Prospectus
253G2,Changes Or Additions To Offering Circular,Prospectus
253G3,Changes in offering circular,Prospectus
34-12H,Other,Other
35-APP,Other,Other
35-CERT,Certification of transaction,Other
39-304D,Other,Other
39-310B,Other,Other
40-202A,Other,Other
40-203A,Other,Other
40-205E,Other,Other
40-206A,Other,Other
40-6C,Other,Other
40-8F-A,Other,Other
40-8F-B,Other,Other
40-8F-L,Other,Other
40-8F-M,Other,Other
40-8FC,Other,Other
40-RPT,Other,Other
424H,Other,Other
485A24E,Other,Other
485A24F,Other,Other
485B24E,Other,Other
485B24F,Other,Other
485BXTF,Other,Other
486A24E,Other,Other
486B24E,Other,Other
486BXT,Other,Other
497K1,Other,Prospectus
497K2,Other,Prospectus
497K3A,Other,Prospectus
497K3B,Profiles for certain open-end management investment companies,Prospectus
6B NTC,Other,Other
6B ORDR,Other,Other
8-B12B,Registrations of securities of certain successor issuers,Prospectus
8-B12G,Registrations of securities of certain successor issuers,Prospectus
8-M,Other,Other
8A12BEF,Registration of debt securities,Prospectus
8A12BT,Registration Of Securities,Prospectus
8F-2 NTC,Other,Other
8F-2 ORDR,Other,Other
9-M,Other,Other
ABS-15G,Asset-backed securitizer report,Other
ABS-EE,Other,Other
ADB,Other,Other
ADN-MTL,Other,Other
ADV-E,Certificate of accounting of client securities and funds in possession or custody of an Investment Advisor,Other
ADV-H-C,Other,Other
ADV-H-T,Other,Other
ADV-NR,Other,Other
ADV,Other,Other
ADVCO,Other,Other
ADVW,Other,Other
AFDB,Other,Other
APP NTC,Other,Other
APP ORDR,Other,Other
APP WDG,Other,Other
ATS-N,Other,Other
ATS-N-C,Other,Other
ATS-N/CA,Other,Other
ATS-N/MA,Other,Other
ATS-N/UA,Other,Other
BDCO,Other,Other
BW-2,Quarterly World Bank filing,Financials
BW-3,Other,Financials
C,Offering Statement,Prospectus
C-AR,Annual Report,Financials
C-AR-W,Annual Report Withdrawl,Financials
C-TR,Termination of reporting,Prospectus
C-TR-W,Other,Other
C-U,Offering Progress Update,Prospectus
C-U-W,Offering progress update withdrawal,Prospectus
C-W,Offering statement withdrawal,Prospectus
CERT,Other,Other
CERTAMX,Certification of approval for listing on the American Stock Exchange,Other
CERTARCA,Other,Other
CERTBATS,Other,Other
CERTBSE,Other,Other
CERTCBO,Other,Other
CERTCSE,Other,Other
CERTNAS,Approval for listing by National Association of Securities Dealers,Other
CERTNYS,Certification of approval for listing on the NYSE,Other
CERTPAC,Other,Other
CERTPBS,Other,Other
CFPORTAL,Funding portal application,Prospectus
CFPORTAL-W,Other,Prospectus
CT ORDER,Confidential Treatment order,Other
DEF-OC,Other,Other
DEF13E3,Schedule filed as definitive materials,Proxies
DEFS14A,Proxy For Special Meeting,Proxies
DEFS14C,Solicitation to vote without proxy,Proxies
DOS,Other,Other
DOSLTR,Other,Other
DRS,Draft registration statement ,Prospectus
DRSLTR,Correspondence regarding draft registration statement,Prospectus
EBRD,Other,Other
EFFECT,Notice of effectiveness,Other
F-2,Initial registration for new securities for private issuer,Prospectus
FOCUSN,Non-public annual audit reports filed by brokers or dealers,Other
G-405,Other,Other
G-405N,Other,Other
G-FIN,Other,Other
G-FINW,Other,Other
IADB,Other,Other
ID-NEWCIK,Other,Other
IFC,Other,Other
IRANNOTICE,Notice required by Iran Threat Reduction and Syria Human Rights Act of 2012,Other
MA,Other,Other
MA-A,Other,Other
MA-I,Application for municipal advisor registration for natural person,Prospectus
MA-W,Other,Other
MSD,Other,Other
MSDCO,Other,Other
MSDW,Other,Other
N-14AE,Registration statement for open-end investment company (business combinations),Prospectus
N-1A EL,Registration of securities for open end management investment company,Prospectus
N-23C-1,Purchase of own securities report by closed-end investment company,Ownership
N-3 EL,Other,Prospectus
